,Name,Rating,reviews,Company Type,Headquaters,Company Age,No. of Employee
2235,Shivalik Small F...,4.0,(273 Reviews),Private,"Noida,Uttar Pradesh + 16 more",26 years old,501-1k Employees (India)
2236,Jawahar Navodaya...,4.4,(273 Reviews),Private,"Noida,Uttar Pradesh + 105 more",38 years old,10k-50k Employees (India)
2237,Maxop Engineerin...,4.2,(273 Reviews),"Delhi/NCR,Delhi + 8 more",20 years old,201-500 Employees (India),N/A
2238,Grass Roots Rese...,4.9,(273 Reviews),New Delhi + 11 more,201-500 Employees (India),N/A,N/A
2239,Škoda Auto Volks...,4.1,(273 Reviews),Pune + 7 more,1k-5k Employees (India),N/A,N/A
2240,Wipro HR Service...,3.3,(273 Reviews),Gurgaon/Gurugram + 9 more,N/A,N/A,N/A
2241,360 Realtors,3.7,(273 Reviews),LLP,"Gurgaon/Gurugram,Haryana + 22 more",9 years old,501-1k Employees (India)
2242,Vatika Group,3.9,(272 Reviews),Private,Gurgaon + 10 more,37 years old,1k-5k Employees (Global)
2243,Ceinsys Tech,3.9,(272 Reviews),Public,"Nagpur,Maharashtra + 33 more",25 years old,501-1k Employees (India)
2244,GoMechanic,3.7,(272 Reviews),Private,"Gurgaon,Haryana + 25 more",7 years old,501-1k Employees (India)
2245,Nissan,4.0,(272 Reviews),Private,"Yokohama-shi,Kanagawa + 59 more",90 years old,10k-50k Employees (India)
2246,Silverlink Techn...,4.5,(272 Reviews),Private,"Mumbai,Maharashtra + 13 more",20 years old,201-500 Employees (India)
2247,Transasia Bio-Me...,3.2,(272 Reviews),Private,"Mumbai,Maharashtra + 39 more",44 years old,1k-5k Employees (India)
2248,convergys india ...,3.7,(272 Reviews),Gurgaon/Gurugram + 8 more,N/A,N/A,N/A
2249,People Group,3.7,(272 Reviews),Private,"Mumbai,Maharashtra + 26 more",27 years old,1k-5k Employees (India)
2250,Jyoti CNC Automa...,4.0,(271 Reviews),Public,"Rajkot,Gujarat + 23 more",34 years old,501-1k Employees (India)
2251,Infiniti Researc...,3.8,(271 Reviews),Private,London + 3 more,20 years old,501-1k Employees (India)
2252,Lafarge,4.0,(271 Reviews),Private,Paris + 72 more,190 years old,201-500 Employees (India)
2253,Bhagwati Product...,3.8,(271 Reviews),Public,"Delhi/NCR,New Delhi + 13 more",21 years old,11-50 Employees (India)
2254,SunTec Web Servi...,3.5,(270 Reviews),Private,New Delhi + 2 more,24 years old,1k-5k Employees (India)
2255,CodeClouds,4.6,(270 Reviews),Private,"Pipitea,Wellington + 3 more",14 years old,201-500 Employees (India)
2256,Broadcom,3.5,(270 Reviews),Private,"San Jose,California + 5 more",47 years old,1k-5k Employees (India)
2257,Medall Healthcar...,3.5,(270 Reviews),Private,"Chennai,Tamil Nadu + 41 more",29 years old,1k-5k Employees (India)
2258,ABP Group,3.5,(270 Reviews),Private,"Kolkata,West Bengal + 17 more",101 years old,1k-5k Employees (India)
2259,Wipro GE Health ...,4.2,(270 Reviews),Chicago + 28 more,131 years old,201-500 Employees (India),N/A
2260,Me n Moms,3.5,(270 Reviews),Private,"Mumbai,Maharashtra + 36 more",29 years old,201-500 Employees (India)
2261,HealthifyMe,3.3,(269 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 8 more",11 years old,201-500 Employees (India)
2262,Aarti Drugs,3.9,(269 Reviews),Public,Mumbai + 9 more,39 years old,201-500 Employees (India)
2263,Applied Material...,4.1,(269 Reviews),Private,"Santa Clara,California + 9 more",21 years old,1k-5k Employees (India)
2264,Alcon,3.7,(269 Reviews),Public,"Fort Worth,Texas + 30 more",78 years old,1k-5k Employees (India)
2265,India Nippon Ele...,3.9,(269 Reviews),Public,"Hosur,Tamil Nadu + 15 more",39 years old,501-1k Employees (India)
2266,Teva API,4.0,(269 Reviews),Private,Tel Aviv + 15 more,88 years old,1k-5k Employees (India)
2267,Artemis Health I...,4.4,(269 Reviews),Public,"Gurgaon/Gurugram,Haryana + 9 more",16 years old,1k-5k Employees (India)
2268,Groupon,3.5,(268 Reviews),Private,"Chicago,Illinois + 8 more",15 years old,201-500 Employees (India)
2269,Grey Orange,3.1,(268 Reviews),Private,"Gurgaon,Haryana + 8 more",12 years old,501-1k Employees (India)
2270,ASM Technologies,3.6,(268 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 15 more",31 years old,501-1k Employees (India)
2271,L. N. Malviya In...,3.5,(268 Reviews),Private,"Bhopal,Madhya Pradesh + 74 more",13 years old,1k-5k Employees (India)
2272,Hajee A P Bava C...,3.7,(267 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 37 more",73 years old,201-500 Employees (India)
2273,Electronica Fina...,3.8,(267 Reviews),Public,"Pune,Maharashtra + 70 more",33 years old,501-1k Employees (India)
2274,Tanishq Jeweller...,4.5,(267 Reviews),Bengaluru + 87 more,29 years old,501-1k Employees (India),N/A
2275,Time Technoplast,3.6,(267 Reviews),Public,"Mumbai,Maharashtra + 28 more",31 years old,1k-5k Employees (India)
2276,Peel-works,4.4,(267 Reviews),Private,"Mumbai,Maharashtra + 17 more",13 years old,51-200 Employees (India)
2277,Top Office Pros ...,4.9,(267 Reviews),Pune + 4 more,11-50 Employees (India),N/A,N/A
2278,Varroc Engineeri...,3.8,(267 Reviews),Aurangabad + 13 more,33 years old,1k-5k Employees (India),N/A
2279,Cera Sanitarywar...,4.2,(266 Reviews),Public,"London,England + 50 more",43 years old,1k-5k Employees (India)
2280,Uniparts Group,4.2,(266 Reviews),Private,"Noida,Uttar Pradesh + 14 more",39 years old,501-1k Employees (India)
2281,EXEDY,3.8,(266 Reviews),Private,Keysborough + 14 more,46 years old,201-500 Employees (India)
2282,Essar Projects I...,4.0,(266 Reviews),Public,Mumbai + 34 more,54 years old,5k-10k Employees (India)
2283,Excitel Broadban...,3.7,(266 Reviews),Private,"Delhi,NCT + 25 more",8 years old,1k-5k Employees (India)
2284,Methodex,3.8,(266 Reviews),Private,"Delhi/NCR,Delhi + 42 more",63 years old,1k-5k Employees (India)
2285,Wirpo Technologi...,3.8,(266 Reviews),Bengaluru/Bangalore + 19 more,1 Lakh+ Employees (Global),N/A,N/A
2286,Elecon Engineeri...,4.1,(266 Reviews),Public,Gujrat + 19 more,72 years old,501-1k Employees (India)
2287,ThoughtWorks,4.2,(266 Reviews),Private,"Chicago,Illinois + 9 more",30 years old,1k-5k Employees (India)
2288,Anthem Bioscienc...,4.0,(265 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 8 more",17 years old,1k-5k Employees (India)
2289,Symbiotec Pharma...,3.7,(265 Reviews),Private,"Indore,Madhya Pradesh + 5 more",29 years old,51-200 Employees (India)
2290,Ranbaxy,4.2,(265 Reviews),Public,GURGAON + 48 more,62 years old,10k-50k Employees (India)
2291,Continental Engi...,4.0,(265 Reviews),Private,New Delhi + 24 more,40 years old,10k-50k Employees (India)
2292,Micro Focus,3.9,(265 Reviews),Private,"Newbury,West Berkshire + 5 more",47 years old,1k-5k Employees (India)
2293,V-Xpress,4.3,(265 Reviews),Private,"Chembur,Maharashtra + 52 more",21 years old,501-1k Employees (India)
2294,Tribhovandas Bhi...,4.2,(265 Reviews),Public,"Mumbai,Maharashtra + 33 more",159 years old,1k-5k Employees (India)
2295,Eisai Pharmaceut...,4.2,(265 Reviews),Public,"Tokyo,Tokyo-to + 14 more",19 years old,201-500 Employees (India)
2296,Sakthi Auto Comp...,3.1,(265 Reviews),Public,"Coimbatore,Tamil Nadu + 9 more",40 years old,501-1k Employees (India)
2297,TotalEnergies,4.0,(265 Reviews),Private,Paris + 47 more,99 years old,501-1k Employees (India)
2298,Allcargo Logisti...,4.1,(265 Reviews),Public,"Mumbai,Maharashtra + 35 more",30 years old,1k-5k Employees (India)
2299,Kiya.ai,3.3,(265 Reviews),"Mumbai,Maharashtra + 7 more",28 years old,201-500 Employees (India),N/A
2300,Harjai Computers,4.2,(264 Reviews),Private,"Mumbai,Maharashtra + 8 more",28 years old,501-1k Employees (India)
2301,HyperCITY,4.5,(264 Reviews),Private,"Mumbai,Maharashtra + 19 more",19 years old,501-1k Employees (India)
2302,ELGI Equipments,4.0,(264 Reviews),Public,"Coimbatore,Tamil Nadu + 24 more",63 years old,1k-5k Employees (India)
2303,Danske IT,3.7,(264 Reviews),Private,"Bangalore/Bengaluru,Karnataka",11 years old,1k-5k Employees (India)
2304,Escon Elevators,3.6,(263 Reviews),Private,"Navi Mumbai,Maharashtra + 10 more",33 years old,51-200 Employees (India)
2305,India Glycols,4.0,(263 Reviews),Public,"Noida,Uttar Pradesh + 11 more",40 years old,1k-5k Employees (India)
2306,Sri Krishna Phar...,3.9,(263 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 6 more",49 years old,201-500 Employees (India)
2307,XL Health,4.3,(263 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",26 years old,11-50 Employees (India)
2308,Exicom,4.0,(263 Reviews),Public,"Gurgaon,Haryana + 14 more",29 years old,501-1k Employees (India)
2309,Escon Elevators,3.6,(263 Reviews),Private,"Navi Mumbai,Maharashtra + 10 more",33 years old,51-200 Employees (India)
2310,Cosmo Films,4.0,(262 Reviews),Public,"Delhi/NCR,New Delhi + 7 more",42 years old,1k-5k Employees (India)
2311,Indian Bank,3.5,(262 Reviews),Private,Chennai + 61 more,116 years old,10k-50k Employees (India)
2312,Hewlett Packard ...,4.1,(262 Reviews),Bengaluru/Bangalore + 5 more,N/A,N/A,N/A
2313,Harman Finochem,3.6,(262 Reviews),Private,"Mumbai,Maharashtra + 8 more",40 years old,501-1k Employees (India)
2314,Indian Space Res...,4.4,(262 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 18 more",54 years old,10k-50k Employees (India)
2315,Win Medicare,4.0,(261 Reviews),Private,"Delhi/NCR,Delhi + 41 more",18 years old,501-1k Employees (India)
2316,Henkel Adhesives...,4.3,(261 Reviews),Private,"Düsseldorf,North Rhine-Westphalia + 16 more",33 years old,501-1k Employees (India)
2317,MITS GLOBAL CONS...,4.7,(261 Reviews),Mumbai + 7 more,5k-10k Employees (India),N/A,N/A
2318,Ryan,4.5,(261 Reviews),Private,"Dallas,Texas + 1 more",32 years old,501-1k Employees (India)
2319,Innominds Softwa...,3.2,(261 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 5 more",25 years old,1k-5k Employees (India)
2320,Accion Labs,3.7,(261 Reviews),Private,"Bridgeville,Pennsylvania + 10 more",12 years old,1k-5k Employees (India)
2321,FCm Travel Solut...,3.6,(261 Reviews),Private,Brisbane + 20 more,37 years old,1k-5k Employees (India)
2322,Siti Networks,4.0,(261 Reviews),Public,Noida + 46 more,29 years old,201-500 Employees (India)
2323,SHARE Microfin,4.1,(260 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 99 more",34 years old,501-1k Employees (India)
2324,International Ga...,3.5,(260 Reviews),Private,Gurgaon/Gurugram + 5 more,33 years old,501-1k Employees (India)
2325,Kutchina,3.8,(260 Reviews),Private,"Kolkata,West Bengal + 50 more",20 years old,201-500 Employees (India)
2326,Shriram Group,4.1,(260 Reviews),Private,"Chennai,Tamil Nadu + 110 more",49 years old,50k-1 Lakh Employees (India)
2327,Aurionpro Soluti...,4.0,(260 Reviews),Public,"Mumbai,Maharashtra + 29 more",26 years old,501-1k Employees (India)
2328,Rashmi Group,3.7,(260 Reviews),Private,"Kolkata,West Bengal + 15 more",57 years old,10k-50k Employees (India)
2329,Yusen Logistics,4.1,(260 Reviews),Private,Tokyo + 29 more,68 years old,501-1k Employees (India)
2330,Fenesta Building...,4.2,(260 Reviews),Private,"Gurgaon/Gurugram,Haryana + 41 more",20 years old,501-1k Employees (India)
2331,GAVS Technologie...,3.9,(260 Reviews),Private,"Princeton,New Jersey + 9 more",25 years old,1k-5k Employees (India)
2332,Johnson Controls...,3.9,(260 Reviews),Kadi + 29 more,N/A,N/A,N/A
2333,Allianz Partners,3.9,(260 Reviews),Saint-Ouen + 11 more,9 years old,1k-5k Employees (India),N/A
2334,Infosys Consulti...,3.8,(260 Reviews),Zurich + 22 more,19 years old,1k-5k Employees (India),N/A
2335,Alankit,2.8,(260 Reviews),Public,"Delhi/NCR,New Delhi + 34 more",32 years old,1k-5k Employees (India)
2336,Chambal Fertilis...,4.0,(260 Reviews),Public,"Kota,Rajasthan + 40 more",38 years old,1k-5k Employees (India)
2337,Victora Tool Eng...,3.9,(259 Reviews),Private,"Faridabad,Haryana + 6 more",51 years old,1k-5k Employees (India)
2338,Akumentis Health...,3.5,(259 Reviews),Private,Thane + 36 more,13 years old,1k-5k Employees (India)
2339,Akumentis Health...,3.5,(259 Reviews),Private,Thane + 36 more,13 years old,1k-5k Employees (India)
2340,Hamdard,4.0,(259 Reviews),NGO/NPO,"Delhi/NCR,Delhi + 47 more",117 years old,501-1k Employees (India)
2341,OnProcess Techno...,3.8,(258 Reviews),Private,"Ashland,Massachusetts + 1 more",25 years old,501-1k Employees (India)
2342,Kelly Services,4.2,(258 Reviews),Private,"Troy,Michigan + 30 more",77 years old,51-200 Employees (India)
2343,Capital Trust,3.7,(258 Reviews),Public,"Delhi/NCR,New Delhi + 69 more",37 years old,201-500 Employees (India)
2344,Brigade Group,4.1,(258 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 7 more",37 years old,501-1k Employees (India)
2345,Vasan Eye Care H...,4.0,(258 Reviews),Private,"Chennai,Tamil Nadu + 63 more",21 years old,5k-10k Employees (India)
2346,Johnson Matthey,4.0,(258 Reviews),Private,London + 13 more,206 years old,501-1k Employees (India)
2347,VKC Group,3.7,(258 Reviews),Private,"Calicut/Kozhikode,Kerala + 34 more",39 years old,1k-5k Employees (India)
2348,Madina Group,4.6,(258 Reviews),Private,Doha + 14 more,26 years old,201-500 Employees (India)
2349,WayCool Foods an...,3.8,(258 Reviews),Private,"Chennai,Tamil Nadu + 25 more",8 years old,501-1k Employees (India)
2350,Kirloskar Ferrou...,4.0,(258 Reviews),Public,"Koppal,Karnataka + 9 more",32 years old,1k-5k Employees (India)
2351,Katerra,3.4,(258 Reviews),Private,"Menlo Park,California + 13 more",8 years old,501-1k Employees (India)
2352,IIFL Home Financ...,3.9,(258 Reviews),Gurgaon/Gurugram + 91 more,N/A,N/A,N/A
2353,Star Bazaar,4.2,(257 Reviews),Private,"Mumbai,Maharashtra + 22 more",25 years old,1k-5k Employees (India)
2354,Sunwoda,4.2,(257 Reviews),Private,"Greater Noida,Uttar Pradesh + 2 more",26 years old,201-500 Employees (India)
2355,Ingersoll Rand,4.0,(257 Reviews),Public,"Dublin,Dublin + 20 more",51 years old,1k-5k Employees (India)
2356,SOLAR INDUSTRIES...,3.9,(257 Reviews),Public,"Nagpur,Maharashtra + 25 more",28 years old,5k-10k Employees (India)
2357,Nspira Managemen...,3.8,(257 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 26 more",8 years old,1k-5k Employees (India)
2358,Thought Focus,3.7,(257 Reviews),Private,"Milwaukee,Wisconsin + 4 more",19 years old,1k-5k Employees (India)
2359,Oda Class,4.0,(257 Reviews),"Bengaluru/Bangalore,Karnataka + 5 more",6 years old,1k-5k Employees (India),N/A
2360,Kuehne + Nagel,4.1,(256 Reviews),Private,"Schindellegi,Feusisberg + 24 more",133 years old,501-1k Employees (India)
2361,Ashapura Group O...,4.1,(256 Reviews),Public,"Mumbai,Maharashtra + 25 more",63 years old,201-500 Employees (India)
2362,SUEZ Environneme...,4.0,(256 Reviews),Private,"Paris,Ile De France + 28 more",26 years old,501-1k Employees (India)
2363,SMEC,4.1,(256 Reviews),Private,"North Sydney,New South Wales + 51 more",53 years old,501-1k Employees (India)
2364,VDA Infosolution...,3.5,(256 Reviews),Private,"Mumbai,Maharashtra + 20 more",13 years old,201-500 Employees (India)
2365,Juniper Networks,4.3,(256 Reviews),Private,"Sunnyvale,California + 3 more",27 years old,1k-5k Employees (India)
2366,Kharafi National,4.1,(256 Reviews),Private,Cairo + 16 more,47 years old,201-500 Employees (India)
2367,Novac Technology...,3.8,(256 Reviews),Private,"Chennai,Tamil Nadu + 15 more",17 years old,1k-5k Employees (India)
2368,JSW Paints,4.0,(256 Reviews),Mumbai + 56 more,7 years old,51-200 Employees (India),N/A
2369,Sapiens,3.8,(256 Reviews),Private,"Holon,Tel Aviv + 4 more",41 years old,1k-5k Employees (India)
2370,NKG Infrastructu...,3.7,(255 Reviews),Private,"Delhi/NCR,Delhi + 34 more",34 years old,1k-5k Employees (India)
2371,Kerala State Ele...,4.3,(255 Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 21 more",66 years old,10k-50k Employees (India)
2372,Religare Securit...,3.7,(255 Reviews),Private,"Delhi/NCR,Delhi + 64 more",37 years old,1k-5k Employees (India)
2373,Invesco,4.1,(255 Reviews),Private,"Atlanta,Atlanta + 5 more",88 years old,1k-5k Employees (India)
2374,Mahindra Integra...,3.7,(255 Reviews),Private,"Mumbai,Maharashtra + 33 more",12 years old,1k-5k Employees (India)
2375,Dana India,4.0,(255 Reviews),Private,"Maumee,Ohio + 13 more",119 years old,1k-5k Employees (India)
2376,Arvato,3.7,(255 Reviews),Private,Gütersloh + 8 more,27 years old,201-500 Employees (India)
2377,Merck,4.4,(255 Reviews),Private,"Rahway,New Jersey + 38 more",132 years old,1k-5k Employees (India)
2378,SPML Infra,3.6,(255 Reviews),Public,"Delhi/NCR,Delhi + 42 more",42 years old,501-1k Employees (India)
2379,IMS People,3.6,(255 Reviews),Private,Ahmedabad + 17 more,17 years old,501-1k Employees (India)
2380,Myk Laticrete,4.1,(255 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 42 more",23 years old,1k-5k Employees (India)
2381,Pranav Vikas Ind...,3.8,(255 Reviews),"Delhi/NCR,Delhi + 6 more",36 years old,201-500 Employees (India),N/A
2382,2COMS,3.5,(254 Reviews),Private,"Kolkata,West Bengal + 35 more",24 years old,10k-50k Employees (India)
2383,Indian Immunolog...,4.1,(254 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 19 more",41 years old,1k-5k Employees (India)
2384,Orcapod Consulti...,3.3,(254 Reviews),Private,"Mumbai,Maharashtra + 12 more",13 years old,501-1k Employees (India)
2385,Airtel DTH Servi...,4.3,(254 Reviews),Gurgaon + 89 more,15 years old,5k-10k Employees (India),N/A
2386,Gammon Engineers...,3.8,(254 Reviews),Mumbai + 32 more,101 years old,201-500 Employees (India),N/A
2387,IOCL Refinery,4.4,(254 Reviews),Public,New Delhi + 31 more,64 years old,1k-5k Employees (India)
2388,Princess Cruises,4.5,(254 Reviews),Private,Santa Clarita + 8 more,58 years old,1k-5k Employees (India)
2389,Apex Laboratorie...,4.0,(254 Reviews),Private,Chennai + 41 more,45 years old,1k-5k Employees (India)
2390,Siemens Healthin...,3.9,(254 Reviews),Erlangen + 12 more,127 years old,1k-5k Employees (India),N/A
2391,Zara,3.7,(254 Reviews),Private,Â Arteixo + 19 more,49 years old,1k-5k Employees (India)
2392,Resurgent India,4.7,(254 Reviews),Private,Gurgaon + 9 more,18 years old,201-500 Employees (India)
2393,S2 Infotech,3.3,(254 Reviews),Public,"Mumbai,Maharashtra + 44 more",18 years old,201-500 Employees (India)
2394,CAPGEMINI INDIA...,3.8,(254 Reviews),Bengaluru/Bangalore + 13 more,N/A,N/A,N/A
2395,myGate,3.3,(254 Reviews),Private,"Bangalore,Karnataka + 16 more",7 years old,1k-5k Employees (India)
2396,Western Refriger...,4.2,(253 Reviews),Private,"Mumbai,Maharashtra + 29 more",51 years old,501-1k Employees (India)
2397,Bharat Bijlee,4.2,(253 Reviews),Public,"Mumbai,Maharashtra + 15 more",77 years old,1k-5k Employees (India)
2398,Meghmani Organic...,4.0,(253 Reviews),Public,"Ahmedabad,Gujarat + 12 more",37 years old,501-1k Employees (India)
2399,GGS Information ...,3.7,(253 Reviews),Private,"York,Pennsylvania + 6 more",35 years old,501-1k Employees (India)
2400,Ciena,4.4,(253 Reviews),Private,"Hanover,Maryland + 8 more",31 years old,1k-5k Employees (India)
2401,BPTP,4.2,(253 Reviews),Private,"Gurgaon/Gurugram,Haryana + 3 more",20 years old,501-1k Employees (India)
2402,Competent Synerg...,3.8,(253 Reviews),Private,"Chandigarh,Haryana + 23 more",28 years old,501-1k Employees (India)
2403,Sahyadri Hospita...,4.2,(253 Reviews),Private,"Pune,Maharashtra + 5 more",19 years old,1k-5k Employees (India)
2404,Aptiv,4.0,(253 Reviews),Private,"Dublin,Ireland + 12 more",29 years old,1k-5k Employees (India)
2405,ETA Engineering,3.6,(253 Reviews),Private,"Chennai,Tamil Nadu + 17 more",29 years old,501-1k Employees (India)
2406,PC Solutions,3.9,(253 Reviews),Private,"New Delhi,Delhi + 13 more",35 years old,201-500 Employees (India)
2407,Aculife Healthca...,3.8,(253 Reviews),Private,"Ahmedabad,Gujrat + 20 more",9 years old,1k-5k Employees (India)
2408,Gujarat Ambuja E...,3.6,(253 Reviews),Public,"Ahmedabad,Gujarat + 24 more",32 years old,1k-5k Employees (India)
2409,Laxmi Organic In...,4.0,(253 Reviews),Public,"Mumbai,Maharashtra + 8 more",31 years old,201-500 Employees (India)
2410,Netmeds.com,3.7,(253 Reviews),Private,"Chennai,Tamil Nadu + 53 more",8 years old,501-1k Employees (India)
2411,Mantra Technolog...,3.9,(253 Reviews),LLP,"Hyderabad/Secunderabad,Telangana + 7 more",19 years old,201-500 Employees (India)
2412,Tagros Chemicals,3.6,(252 Reviews),Private,"Chennai,Tamil Nadu + 6 more",19 years old,51-200 Employees (India)
2413,Ricoh,4.2,(252 Reviews),Public,"Ota City,Tokyo + 38 more",87 years old,1-10 Employees (India)
2414,Consolidated Con...,4.4,(252 Reviews),Public,"Chennai,Tamil Nadu + 25 more",26 years old,501-1k Employees (India)
2415,TIBCO Software,4.0,(252 Reviews),Private,"Palo Alto,California + 6 more",26 years old,1k-5k Employees (India)
2416,SoftwareONE,3.9,(252 Reviews),Private,"Gurgaon/Gurugram,Haryana + 16 more",23 years old,1k-5k Employees (India)
2417,Hanon Systems,4.0,(252 Reviews),Private,Daejeon + 11 more,37 years old,501-1k Employees (India)
2418,Tata Toyo Radiat...,3.6,(252 Reviews),"Pune,Maharashtra + 7 more",25 years old,201-500 Employees (India),N/A
2419,M.J Global,4.3,(252 Reviews),Public,Noida + 4 more,43 years old,201-500 Employees (India)
2420,Maxxis Rubber,3.4,(252 Reviews),Private,"Ahmedabad,Gujarat + 12 more",8 years old,51-200 Employees (India)
2421,RSPL GHARI DETER...,4.2,(252 Reviews),Kanpur + 56 more,36 years old,501-1k Employees (India),N/A
2422,Yodlee,3.8,(251 Reviews),Private,"Redwood City,San Francisco + 3 more",24 years old,1k-5k Employees (India)
2423,Rosmerta Technol...,3.0,(251 Reviews),Private,Gurgaon + 48 more,17 years old,1k-5k Employees (India)
2424,PureSoftware,3.5,(251 Reviews),Private,Singapore + 5 more,18 years old,1k-5k Employees (India)
2425,Nettur Technical...,4.0,(251 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 34 more",60 years old,501-1k Employees (India)
2426,Epiroc,4.0,(251 Reviews),Public,Stockholm + 19 more,150 years old,1k-5k Employees (India)
2427,Jeeves Consumer ...,3.9,(251 Reviews),Private,"Bangalore,Karnataka + 46 more",16 years old,5k-10k Employees (India)
2428,Deenanath Manges...,4.2,(251 Reviews),Private,"Pune,Maharashtra + 6 more",22 years old,11-50 Employees (India)
2429,Tata BlueScope S...,3.7,(250 Reviews),Private,"Pune,Maharashtra + 23 more",21 years old,501-1k Employees (India)
2430,Jeeves Consumer ...,3.9,(250 Reviews),Private,"Bangalore,Karnataka + 46 more",16 years old,5k-10k Employees (India)
2431,Piramal Swasthya,4.0,(250 Reviews),NGO/NPO,"Hyderabad/Secunderabad,Telangana + 40 more",16 years old,10k-50k Employees (India)
2432,Kcc Buildcon,4.1,(250 Reviews),Private,"Gurgaon/Gurugram,Haryana + 40 more",14 years old,201-500 Employees (India)
2433,Roop Automotives,4.4,(250 Reviews),Private,"Gurgaon/Gurugram,Haryana + 5 more",33 years old,201-500 Employees (India)
2434,Nettur Technical...,4.0,(250 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 34 more",60 years old,501-1k Employees (India)
2435,National Stock E...,3.6,(250 Reviews),Private,"Mumbai,Maharashtra + 23 more",31 years old,501-1k Employees (India)
2436,TCG Lifesciences,4.0,(250 Reviews),Public,"Kolkata,West Bengal + 5 more",22 years old,1k-5k Employees (India)
2437,Runwal Group,3.9,(250 Reviews),"Mumbai,Maharashtra + 6 more",45 years old,201-500 Employees (India),N/A
2438,Vedanta Limited,4.1,(250 Reviews),Jharsuguda + 31 more,501-1k Employees (India),N/A,N/A
2439,Stellar Value Ch...,3.5,(250 Reviews),Private,"Mumbai,Maharashtra + 33 more",7 years old,1k-5k Employees (India)
2440,Epiroc,4.0,(250 Reviews),Public,Stockholm + 19 more,150 years old,1k-5k Employees (India)
2441,P.D. Hinduja Nat...,3.8,(250 Reviews),NGO/NPO,"Mumbai,Maharashtra + 6 more",72 years old,1k-5k Employees (India)
2442,Google Operation...,3.3,(250 Reviews),Hyderabad/Secunderabad + 11 more,1k-5k Employees (India),N/A,N/A
2443,Groupm Media,3.9,(250 Reviews),Public,"New York,New York, + 14 more",20 years old,1k-5k Employees (India)
2444,Magma HDI Genera...,4.0,(250 Reviews),JV,"Mumbai,Maharashtra + 64 more",11 years old,1k-5k Employees (India)
2445,Buzzworks Busine...,3.9,(250 Reviews),Private,"Chennai,Tamil Nadu + 40 more",24 years old,501-1k Employees (India)
2446,PureSoftware,3.5,(250 Reviews),Private,Singapore + 5 more,18 years old,1k-5k Employees (India)
2447,Bharat Aluminium...,4.1,(249 Reviews),Private,"Delhi/NCR,New Delhi + 9 more",58 years old,1k-5k Employees (India)
2448,Bonfiglioli Tran...,3.7,(249 Reviews),Private,"Lippo Di Calderara Di Reno,Bologna + 11 more",67 years old,501-1k Employees (India)
2449,Roca Bathroom Pr...,3.8,(249 Reviews),Private,Municipality Of GavÃ + 42 more,17 years old,1k-5k Employees (India)
2450,Narayana e-Techn...,3.7,(249 Reviews),Private,Hyderabad + 37 more,11 years old,501-1k Employees (India)
2451,Kirby Building S...,3.9,(249 Reviews),Private,Kuwait City + 23 more,25 years old,501-1k Employees (India)
2452,Osource India,3.2,(249 Reviews),Private,"Noida,Uttar Pradesh + 17 more",19 years old,201-500 Employees (India)
2453,Mothers Recipe,4.2,(249 Reviews),Private,"Pune,Maharashtra + 48 more",122 years old,501-1k Employees (India)
2454,Home First Finan...,4.0,(249 Reviews),Private,"Mumbai,Maharashtra + 52 more",13 years old,501-1k Employees (India)
2455,DataMetica,4.1,(249 Reviews),Private,"Pune,Maharashtra + 2 more",10 years old,1k-5k Employees (India)
2456,Polaris Consulti...,3.6,(248 Reviews),Private,"Chennai,Tamil Nadu + 14 more",30 years old,1k-5k Employees (India)
2457,NetApp,3.8,(248 Reviews),Private,"San Jose,California + 3 more",31 years old,1k-5k Employees (India)
2458,Essae Teraoka,3.7,(248 Reviews),JV,"Bangalore/Bengaluru,Karnataka + 51 more",37 years old,51-200 Employees (India)
2459,Rieter,3.9,(248 Reviews),Private,"Khandala,Punjab + 7 more",28 years old,501-1k Employees (India)
2460,Polaris Consulti...,3.6,(248 Reviews),Private,"Chennai,Tamil Nadu + 14 more",30 years old,1k-5k Employees (India)
2461,Sheraton Hotels ...,4.0,(248 Reviews),Private,"Bethesda,Maryland + 21 more",28 years old,10k-50k Employees (India)
2462,Tally Solutions,4.4,(248 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 48 more",37 years old,501-1k Employees (India)
2463,Kogta Financial,4.3,(248 Reviews),Public,"Jaipur,Rajasthan + 77 more",27 years old,1k-5k Employees (India)
